record_id,trial_id,channel,hard_ok,clip_samples_in_support,flat_samples_in_support,ptp,jump,baseline_scale,drift_abs,rejection_reasons
VisualCogB_Task-1,VisualCogB_Ta:048,F4,True,0,0,181.36873426413365,25.78774700541703,13.845291828793894,34.225986114290095,
VisualCogB_Task-1,VisualCogB_Ta:049,Fz,True,0,0,794.9340047302968,51.36186770428026,55.78838178072791,666.8039978637369,
VisualCogB_Task-1,VisualCogB_Ta:049,F3,True,0,0,1021.4389257648586,208.3772030212864,47.191631952391766,378.2101167315175,
VisualCogB_Task-1,VisualCogB_Ta:049,F4,True,0,0,1138.4756237125198,69.3980315861752,64.56611581597605,544.7775997558557,
VisualCogB_Task-1,VisualCogB_Ta:050,Fz,True,0,0,855.9090562294957,25.23842221713562,35.33716639963391,24.82642862592502,
VisualCogB_Task-1,VisualCogB_Ta:050,F3,True,0,0,491.5846494239719,29.57198443579773,35.02044403753707,165.88082703898675,
VisualCogB_Task-1,VisualCogB_Ta:050,F4,True,0,0,624.5517662317844,28.229190508888223,45.11031357290007,143.80102235446714,
VisualCogB_Task-1,VisualCogB_Ta:051,Fz,True,0,0,178.31692988479438,27.98504615854131,10.18036163881883,54.30685893034263,
VisualCogB_Task-1,VisualCogB_Ta:051,F3,True,0,0,373.54085603112856,30.94529640650046,15.51939574273292,6.0425726710917615,
VisualCogB_Task-1,VisualCogB_Ta:051,F4,True,0,0,168.24597543297466,31.738765545128558,12.08069581139853,124.62043183031972,
VisualCogB_Task-1,VisualCogB_Ta:052,Fz,True,0,0,155.61150530250995,33.539330128938786,8.189535362783468,31.78454261081879,
VisualCogB_Task-1,VisualCogB_Ta:052,F3,True,0,0,149.50789654383175,38.452735179675074,7.827566948958628,77.01228351262682,
VisualCogB_Task-1,VisualCogB_Ta:052,F4,True,0,0,179.01884489204235,32.74586099031046,10.225607690547,110.97886625467316,
VisualCogB_Task-1,VisualCogB_Ta:053,Fz,False,185,157,,,,,clip_or_out_of_range|flat_run
VisualCogB_Task-1,VisualCogB_Ta:053,F3,True,0,0,850.7820248722057,27.740901808194167,44.52211490043506,60.74616617074844,
VisualCogB_Task-1,VisualCogB_Ta:053,F4,True,0,0,775.7076371404593,27.98504615854108,26.92140077821044,1.2207217517357094,
VisualCogB_Task-1,VisualCogB_Ta:054,Fz,True,0,0,650.3395132372015,22.095063706416454,46.01523460746175,204.18097199969486,
VisualCogB_Task-1,VisualCogB_Ta:054,F3,True,0,0,617.6852063782712,23.956664377813354,22.487287708857867,11.917296101319891,
VisualCogB_Task-1,VisualCogB_Ta:054,F4,True,0,0,744.5792324711988,24.902723735408586,36.468317692835925,134.41672388799873,
VisualCogB_Task-1,VisualCogB_Ta:055,Fz,True,0,0,514.9309529259174,22.21713588158991,29.455179674982812,341.6342412451361,
VisualCogB_Task-1,VisualCogB_Ta:055,F3,True,0,0,225.83352407110704,27.67986572060738,15.112181277180246,155.94720378423744,
VisualCogB_Task-1,VisualCogB_Ta:055,F4,True,0,0,181.24666208896008,25.39101243610287,17.148253604943775,113.63393606469828,
VisualCogB_Task-1,VisualCogB_Ta:056,Fz,True,0,0,488.8990615701532,23.651483939879427,7.556090638590123,285.3437094682232,
VisualCogB_Task-1,VisualCogB_Ta:056,F3,True,0,0,360.7843137254903,35.49248493171592,9.411178759441485,32.85267414358759,
VisualCogB_Task-1,VisualCogB_Ta:056,F4,True,0,0,570.138094148165,29.60250247959084,7.465598535134124,68.34515907530329,
VisualCogB_Task-1,VisualCogB_Ta:057,Fz,True,0,0,673.7468528267337,92.98847943846795,30.13387045090416,743.404287785153,
VisualCogB_Task-1,VisualCogB_Ta:057,F3,True,0,0,793.7743190661479,392.2789349202716,23.57319295033205,109.88021667811097,
VisualCogB_Task-1,VisualCogB_Ta:057,F4,True,0,0,556.923781185626,123.17082475013353,18.4151430533303,152.23926146334009,
